Id,ActivityHour,TotalIntensity,AverageIntensity
1503960366,2016-4-20 2:00,0,0
1503960366,2016-4-20 3:00,0,0
1503960366,2016-4-20 4:00,0,0
1503960366,2016-4-20 5:00,0,0
1503960366,2016-4-20 6:00,0,0
1503960366,2016-4-20 7:00,3,0.05
1503960366,2016-4-20 8:00,14,0.233333
1503960366,2016-4-20 9:00,50,0.833333
1503960366,2016-4-20 10:00,13,0.216667
1503960366,2016-4-20 11:00,1,0.016667
1503960366,2016-4-20 12:00,8,0.133333
1503960366,2016-4-20 13:00,5,0.083333
1503960366,2016-4-20 14:00,39,0.65
1503960366,2016-4-20 15:00,21,0.35
1503960366,2016-4-20 16:00,11,0.183333
1503960366,2016-4-20 17:00,2,0.033333
1503960366,2016-4-20 18:00,32,0.533333
1503960366,2016-4-20 19:00,36,0.6
1503960366,2016-4-20 20:00,12,0.2
1503960366,2016-4-20 21:00,22,0.366667
1503960366,2016-4-20 22:00,7,0.116667
1503960366,2016-4-20 23:00,33,0.55
1503960366,2016-4-21 0:00,2,0.033333
1503960366,2016-4-21 1:00,8,0.133333
1503960366,2016-4-21 2:00,5,0.083333
1503960366,2016-4-21 3:00,0,0
1503960366,2016-4-21 4:00,0,0
1503960366,2016-4-21 5:00,0,0
1503960366,2016-4-21 6:00,0,0
1503960366,2016-4-21 7:00,3,0.05
1503960366,2016-4-21 8:00,15,0.25
1503960366,2016-4-21 9:00,26,0.433333
1503960366,2016-4-21 10:00,16,0.266667
1503960366,2016-4-21 11:00,0,0
1503960366,2016-4-21 12:00,11,0.183333
1503960366,2016-4-21 13:00,25,0.416667
1503960366,2016-4-21 14:00,2,0.033333
1503960366,2016-4-21 15:00,8,0.133333
1503960366,2016-4-21 16:00,4,0.066667
1503960366,2016-4-21 17:00,5,0.083333
1503960366,2016-4-21 18:00,9,0.15
1503960366,2016-4-21 19:00,8,0.133333
1503960366,2016-4-21 20:00,92,1.533333
1503960366,2016-4-21 21:00,21,0.35
1503960366,2016-4-21 22:00,9,0.15
1503960366,2016-4-21 23:00,15,0.25
1503960366,2016-4-22 0:00,0,0
1503960366,2016-4-22 1:00,0,0
1503960366,2016-4-22 2:00,0,0
1503960366,2016-4-22 3:00,0,0
1503960366,2016-4-22 4:00,0,0
1503960366,2016-4-22 5:00,0,0
1503960366,2016-4-22 6:00,0,0
1503960366,2016-4-22 7:00,0,0
1503960366,2016-4-22 8:00,0,0
1503960366,2016-4-22 9:00,13,0.216667
1503960366,2016-4-22 10:00,2,0.033333
1503960366,2016-4-22 11:00,34,0.566667
1503960366,2016-4-22 12:00,2,0.033333
1503960366,2016-4-22 13:00,4,0.066667
1503960366,2016-4-22 14:00,0,0
1503960366,2016-4-22 15:00,10,0.166667
1503960366,2016-4-22 16:00,4,0.066667
1503960366,2016-4-22 17:00,18,0.3
1503960366,2016-4-22 18:00,23,0.383333
1503960366,2016-4-22 19:00,16,0.266667
1503960366,2016-4-22 20:00,13,0.216667
1503960366,2016-4-22 21:00,159,2.65
1503960366,2016-4-22 22:00,30,0.5
1503960366,2016-4-22 23:00,54,0.9
1503960366,2016-4-23 0:00,9,0.15
1503960366,2016-4-23 1:00,0,0
1503960366,2016-4-23 2:00,1,0.016667
1503960366,2016-4-23 3:00,0,0
1503960366,2016-4-23 4:00,0,0
1503960366,2016-4-23 5:00,0,0
1503960366,2016-4-23 6:00,2,0.033333
1503960366,2016-4-23 7:00,0,0
1503960366,2016-4-23 8:00,8,0.133333
1503960366,2016-4-23 9:00,17,0.283333
1503960366,2016-4-23 10:00,4,0.066667
1503960366,2016-4-23 11:00,11,0.183333
1503960366,2016-4-23 12:00,49,0.816667
1503960366,2016-4-23 13:00,51,0.85
1503960366,2016-4-23 14:00,20,0.333333
1503960366,2016-4-23 15:00,15,0.25
1503960366,2016-4-23 16:00,52,0.866667
1503960366,2016-4-23 17:00,26,0.433333
1503960366,2016-4-23 18:00,66,1.1
1503960366,2016-4-23 19:00,2,0.033333
1503960366,2016-4-23 20:00,9,0.15
1503960366,2016-4-23 21:00,54,0.9
1503960366,2016-4-23 22:00,25,0.416667
1503960366,2016-4-23 23:00,6,0.1
1503960366,2016-4-24 0:00,10,0.166667
1503960366,2016-4-24 1:00,2,0.033333
1503960366,2016-4-24 2:00,0,0
1503960366,2016-4-24 3:00,0,0
1503960366,2016-4-24 4:00,1,0.016667
1503960366,2016-4-24 5:00,0,0
1503960366,2016-4-24 6:00,1,0.016667
1503960366,2016-4-24 7:00,0,0
1503960366,2016-4-24 8:00,1,0.016667
1503960366,2016-4-24 9:00,8,0.133333
1503960366,2016-4-24 10:00,26,0.433333
1503960366,2016-4-24 11:00,12,0.2
1503960366,2016-4-24 12:00,12,0.2
1503960366,2016-4-24 13:00,12,0.2
1503960366,2016-4-24 14:00,1,0.016667
1503960366,2016-4-24 15:00,2,0.033333
1503960366,2016-4-24 16:00,29,0.483333
1503960366,2016-4-24 17:00,25,0.416667
1503960366,2016-4-24 18:00,40,0.666667
1503960366,2016-4-24 19:00,131,2.183333
1503960366,2016-4-24 20:00,18,0.3
1503960366,2016-4-24 21:00,17,0.283333
1503960366,2016-4-24 22:00,7,0.116667
1503960366,2016-4-24 23:00,10,0.166667
1503960366,2016-4-25 0:00,8,0.133333
1503960366,2016-4-25 1:00,3,0.05
1503960366,2016-4-25 2:00,6,0.1
1503960366,2016-4-25 3:00,0,0
1503960366,2016-4-25 4:00,2,0.033333
1503960366,2016-4-25 5:00,1,0.016667
1503960366,2016-4-25 6:00,0,0
1503960366,2016-4-25 7:00,3,0.05
1503960366,2016-4-25 8:00,22,0.366667
1503960366,2016-4-25 9:00,46,0.766667
1503960366,2016-4-25 10:00,12,0.2
1503960366,2016-4-25 11:00,24,0.4
1503960366,2016-4-25 12:00,19,0.316667
1503960366,2016-4-25 13:00,13,0.216667
1503960366,2016-4-25 14:00,5,0.083333
1503960366,2016-4-25 15:00,13,0.216667
1503960366,2016-4-25 16:00,10,0.166667
1503960366,2016-4-25 17:00,8,0.133333
1503960366,2016-4-25 18:00,6,0.1
1503960366,2016-4-25 19:00,86,1.433333
1503960366,2016-4-25 20:00,30,0.5
1503960366,2016-4-25 21:00,132,2.2
1503960366,2016-4-25 22:00,11,0.183333
1503960366,2016-4-25 23:00,3,0.05
1503960366,2016-4-26 0:00,4,0.066667
1503960366,2016-4-26 1:00,11,0.183333
1503960366,2016-4-26 2:00,0,0
1503960366,2016-4-26 3:00,11,0.183333
1503960366,2016-4-26 4:00,0,0
1503960366,2016-4-26 5:00,1,0.016667
1503960366,2016-4-26 6:00,0,0
1503960366,2016-4-26 7:00,3,0.05
1503960366,2016-4-26 8:00,13,0.216667
1503960366,2016-4-26 9:00,31,0.516667
1503960366,2016-4-26 10:00,22,0.366667
1503960366,2016-4-26 11:00,17,0.283333
1503960366,2016-4-26 12:00,10,0.166667
1503960366,2016-4-26 13:00,42,0.7
1503960366,2016-4-26 14:00,60,1
1503960366,2016-4-26 15:00,9,0.15
1503960366,2016-4-26 16:00,22,0.366667
1503960366,2016-4-26 17:00,5,0.083333
1503960366,2016-4-26 18:00,72,1.2
1503960366,2016-4-26 19:00,15,0.25
1503960366,2016-4-26 20:00,26,0.433333
1503960366,2016-4-26 21:00,14,0.233333
1503960366,2016-4-26 22:00,9,0.15
1503960366,2016-4-26 23:00,21,0.35
1503960366,2016-4-27 0:00,10,0.166667
1503960366,2016-4-27 1:00,5,0.083333
1503960366,2016-4-27 2:00,2,0.033333
1503960366,2016-4-27 3:00,0,0
1503960366,2016-4-27 4:00,0,0
1503960366,2016-4-27 5:00,0,0
1503960366,2016-4-27 6:00,0,0
1503960366,2016-4-27 7:00,0,0
1503960366,2016-4-27 8:00,0,0
1503960366,2016-4-27 9:00,33,0.55
1503960366,2016-4-27 10:00,27,0.45
1503960366,2016-4-27 11:00,23,0.383333
1503960366,2016-4-27 12:00,12,0.2
1503960366,2016-4-27 13:00,13,0.216667
1503960366,2016-4-27 14:00,35,0.583333
1503960366,2016-4-27 15:00,6,0.1
1503960366,2016-4-27 16:00,7,0.116667
1503960366,2016-4-27 17:00,13,0.216667
1503960366,2016-4-27 18:00,73,1.216667
1503960366,2016-4-27 19:00,150,2.5
1503960366,2016-4-27 20:00,70,1.166667
1503960366,2016-4-27 21:00,20,0.333333
1503960366,2016-4-27 22:00,0,0
1503960366,2016-4-27 23:00,0,0
1503960366,2016-4-28 0:00,0,0
1503960366,2016-4-28 1:00,10,0.166667
1503960366,2016-4-28 2:00,0,0
1503960366,2016-4-28 3:00,0,0
1503960366,2016-4-28 4:00,0,0
1503960366,2016-4-28 5:00,0,0
1503960366,2016-4-28 6:00,0,0
1503960366,2016-4-28 7:00,1,0.016667
1503960366,2016-4-28 8:00,11,0.183333
1503960366,2016-4-28 9:00,38,0.633333
1503960366,2016-4-28 10:00,19,0.316667
1503960366,2016-4-28 11:00,10,0.166667
1503960366,2016-4-28 12:00,16,0.266667
1503960366,2016-4-28 13:00,33,0.55
1503960366,2016-4-28 14:00,47,0.783333
1503960366,2016-4-28 15:00,5,0.083333
1503960366,2016-4-28 16:00,10,0.166667
1503960366,2016-4-28 17:00,11,0.183333
1503960366,2016-4-28 18:00,56,0.933333
1503960366,2016-4-28 19:00,1,0.016667
1503960366,2016-4-28 20:00,50,0.833333
1503960366,2016-4-28 21:00,21,0.35
1503960366,2016-4-28 22:00,2,0.033333
1503960366,2016-4-28 23:00,48,0.8
1503960366,2016-4-29 0:00,9,0.15
1503960366,2016-4-29 1:00,0,0
1503960366,2016-4-29 2:00,4,0.066667
1503960366,2016-4-29 3:00,0,0
1503960366,2016-4-29 4:00,0,0
1503960366,2016-4-29 5:00,0,0
1503960366,2016-4-29 6:00,0,0
1503960366,2016-4-29 7:00,3,0.05
1503960366,2016-4-29 8:00,13,0.216667
1503960366,2016-4-29 9:00,33,0.55
1503960366,2016-4-29 10:00,4,0.066667
1503960366,2016-4-29 11:00,4,0.066667
1503960366,2016-4-29 12:00,6,0.1
1503960366,2016-4-29 13:00,6,0.1
1503960366,2016-4-29 14:00,56,0.933333
1503960366,2016-4-29 15:00,23,0.383333
1503960366,2016-4-29 16:00,10,0.166667
1503960366,2016-4-29 17:00,9,0.15
1503960366,2016-4-29 18:00,5,0.083333
1503960366,2016-4-29 19:00,11,0.183333
1503960366,2016-4-29 20:00,16,0.266667
1503960366,2016-4-29 21:00,20,0.333333
1503960366,2016-4-29 22:00,27,0.45
1503960366,2016-4-29 23:00,56,0.933333
1503960366,2016-4-30 0:00,1,0.016667
1503960366,2016-4-30 1:00,7,0.116667
1503960366,2016-4-30 2:00,0,0
1503960366,2016-4-30 3:00,1,0.016667
1503960366,2016-4-30 4:00,0,0
1503960366,2016-4-30 5:00,0,0
1503960366,2016-4-30 6:00,0,0
1503960366,2016-4-30 7:00,0,0
1503960366,2016-4-30 8:00,3,0.05
1503960366,2016-4-30 9:00,11,0.183333
1503960366,2016-4-30 10:00,17,0.283333
1503960366,2016-4-30 11:00,7,0.116667
1503960366,2016-4-30 12:00,4,0.066667
1503960366,2016-4-30 13:00,11,0.183333
1503960366,2016-4-30 14:00,22,0.366667
1503960366,2016-4-30 15:00,26,0.433333
1503960366,2016-4-30 16:00,99,1.65
1503960366,2016-4-30 17:00,55,0.916667
1503960366,2016-4-30 18:00,71,1.183333
1503960366,2016-4-30 19:00,4,0.066667
1503960366,2016-4-30 20:00,5,0.083333
1503960366,2016-4-30 21:00,22,0.366667
1503960366,2016-4-30 22:00,47,0.783333
1503960366,2016-4-30 23:00,28,0.466667
1503960366,2016-5-1 0:00,9,0.15
1503960366,2016-5-1 1:00,8,0.133333
1503960366,2016-5-1 2:00,2,0.033333
1503960366,2016-5-1 3:00,1,0.016667
1503960366,2016-5-1 4:00,0,0
1503960366,2016-5-1 5:00,0,0
1503960366,2016-5-1 6:00,0,0
1503960366,2016-5-1 7:00,3,0.05
1503960366,2016-5-1 8:00,6,0.1
1503960366,2016-5-1 9:00,12,0.2
1503960366,2016-5-1 10:00,6,0.1
1503960366,2016-5-1 11:00,10,0.166667
1503960366,2016-5-1 12:00,10,0.166667
1503960366,2016-5-1 13:00,5,0.083333
1503960366,2016-5-1 14:00,25,0.416667
1503960366,2016-5-1 15:00,21,0.35
1503960366,2016-5-1 16:00,23,0.383333
1503960366,2016-5-1 17:00,33,0.55
1503960366,2016-5-1 18:00,70,1.166667
1503960366,2016-5-1 19:00,14,0.233333
1503960366,2016-5-1 20:00,6,0.1
1503960366,2016-5-1 21:00,25,0.416667
1503960366,2016-5-1 22:00,50,0.833333
1503960366,2016-5-1 23:00,76,1.266667
1503960366,2016-5-2 0:00,0,0
1503960366,2016-5-2 1:00,7,0.116667
1503960366,2016-5-2 2:00,0,0
1503960366,2016-5-2 3:00,1,0.016667
1503960366,2016-5-2 4:00,0,0
1503960366,2016-5-2 5:00,0,0
1503960366,2016-5-2 6:00,0,0
1503960366,2016-5-2 7:00,3,0.05
1503960366,2016-5-2 8:00,12,0.2
1503960366,2016-5-2 9:00,30,0.5
1503960366,2016-5-2 10:00,19,0.316667
1503960366,2016-5-2 11:00,16,0.266667
1503960366,2016-5-2 12:00,64,1.066667
1503960366,2016-5-2 13:00,21,0.35
1503960366,2016-5-2 14:00,13,0.216667
1503960366,2016-5-2 15:00,11,0.183333
1503960366,2016-5-2 16:00,24,0.4
1503960366,2016-5-2 17:00,12,0.2
1503960366,2016-5-2 18:00,9,0.15
1503960366,2016-5-2 19:00,13,0.216667
1503960366,2016-5-2 20:00,105,1.75
1503960366,2016-5-2 21:00,25,0.416667
1503960366,2016-5-2 22:00,28,0.466667
1503960366,2016-5-2 23:00,17,0.283333
1503960366,2016-5-3 0:00,3,0.05
1503960366,2016-5-3 1:00,6,0.1
1503960366,2016-5-3 2:00,1,0.016667
1503960366,2016-5-3 3:00,5,0.083333
1503960366,2016-5-3 4:00,0,0
1503960366,2016-5-3 5:00,0,0
1503960366,2016-5-3 6:00,2,0.033333
1503960366,2016-5-3 7:00,3,0.05
1503960366,2016-5-3 8:00,11,0.183333
1503960366,2016-5-3 9:00,24,0.4
1503960366,2016-5-3 10:00,25,0.416667
1503960366,2016-5-3 11:00,12,0.2
1503960366,2016-5-3 12:00,17,0.283333
1503960366,2016-5-3 13:00,23,0.383333
1503960366,2016-5-3 14:00,26,0.433333
1503960366,2016-5-3 15:00,46,0.766667
1503960366,2016-5-3 16:00,33,0.55
1503960366,2016-5-3 17:00,18,0.3
1503960366,2016-5-3 18:00,86,1.433333
1503960366,2016-5-3 19:00,5,0.083333
1503960366,2016-5-3 20:00,1,0.016667
1503960366,2016-5-3 21:00,37,0.616667
1503960366,2016-5-3 22:00,58,0.966667
1503960366,2016-5-3 23:00,10,0.166667
1503960366,2016-5-4 0:00,17,0.283333
1503960366,2016-5-4 1:00,2,0.033333
1503960366,2016-5-4 2:00,0,0
1503960366,2016-5-4 3:00,0,0
1503960366,2016-5-4 4:00,0,0
1503960366,2016-5-4 5:00,0,0
1503960366,2016-5-4 6:00,0,0
1503960366,2016-5-4 7:00,0,0
1503960366,2016-5-4 8:00,4,0.066667
1503960366,2016-5-4 9:00,22,0.366667
1503960366,2016-5-4 10:00,26,0.433333
1503960366,2016-5-4 11:00,7,0.116667
1503960366,2016-5-4 12:00,12,0.2
1503960366,2016-5-4 13:00,16,0.266667
1503960366,2016-5-4 14:00,67,1.116667
1503960366,2016-5-4 15:00,7,0.116667
1503960366,2016-5-4 16:00,6,0.1
1503960366,2016-5-4 17:00,11,0.183333
1503960366,2016-5-4 18:00,62,1.033333
1503960366,2016-5-4 19:00,19,0.316667
1503960366,2016-5-4 20:00,30,0.5
1503960366,2016-5-4 21:00,39,0.65
1503960366,2016-5-4 22:00,8,0.133333
1503960366,2016-5-4 23:00,0,0
1503960366,2016-5-5 0:00,6,0.1
1503960366,2016-5-5 1:00,6,0.1
1503960366,2016-5-5 2:00,2,0.033333
1503960366,2016-5-5 3:00,0,0
1503960366,2016-5-5 4:00,4,0.066667
1503960366,2016-5-5 5:00,0,0
1503960366,2016-5-5 6:00,1,0.016667
1503960366,2016-5-5 7:00,3,0.05
1503960366,2016-5-5 8:00,10,0.166667
1503960366,2016-5-5 9:00,26,0.433333
1503960366,2016-5-5 10:00,15,0.25
1503960366,2016-5-5 11:00,4,0.066667
1503960366,2016-5-5 12:00,13,0.216667
1503960366,2016-5-5 13:00,21,0.35
1503960366,2016-5-5 14:00,12,0.2
1503960366,2016-5-5 15:00,14,0.233333
1503960366,2016-5-5 16:00,21,0.35
1503960366,2016-5-5 17:00,70,1.166667
1503960366,2016-5-5 18:00,30,0.5
1503960366,2016-5-5 19:00,20,0.333333
1503960366,2016-5-5 20:00,19,0.316667
1503960366,2016-5-5 21:00,113,1.883333
1503960366,2016-5-5 22:00,17,0.283333
1503960366,2016-5-5 23:00,6,0.1
1503960366,2016-5-6 0:00,12,0.2
1503960366,2016-5-6 1:00,1,0.016667
1503960366,2016-5-6 2:00,7,0.116667
1503960366,2016-5-6 3:00,0,0
1503960366,2016-5-6 4:00,1,0.016667
1503960366,2016-5-6 5:00,0,0
1503960366,2016-5-6 6:00,0,0
1503960366,2016-5-6 7:00,3,0.05
1503960366,2016-5-6 8:00,9,0.15
1503960366,2016-5-6 9:00,29,0.483333
1503960366,2016-5-6 10:00,20,0.333333
1503960366,2016-5-6 11:00,6,0.1
1503960366,2016-5-6 12:00,13,0.216667
1503960366,2016-5-6 13:00,10,0.166667
1503960366,2016-5-6 14:00,15,0.25
1503960366,2016-5-6 15:00,27,0.45
1503960366,2016-5-6 16:00,17,0.283333
1503960366,2016-5-6 17:00,13,0.216667
1503960366,2016-5-6 18:00,28,0.466667
1503960366,2016-5-6 19:00,55,0.916667
1503960366,2016-5-6 20:00,16,0.266667
1503960366,2016-5-6 21:00,20,0.333333
1503960366,2016-5-6 22:00,19,0.316667
1503960366,2016-5-6 23:00,52,0.866667
1503960366,2016-5-7 0:00,9,0.15
1503960366,2016-5-7 1:00,0,0
